"AUT","BEL","CAN","CHE","DEU","DNK","ESP","FIN","FRA","GBR","GRC","HUN","ISR","ITA","JPN","KOR","LUX","MEX","NLD","NOR","PRT","SWE","USA"
59.8342531432099,60.5027051064939,48.6802965206984,74.6239780080274,64.5042969409577,61.8830518846039,49.9893887593697,65.1591671133981,68.0604877598005,59.1756700486622,29.0254048421269,7.94273999014171,20.3086973510196,51.3479229581538,81.5464770256081,27.1576600844007,58.7474827186669,2.13458480103568,57.9250067093964,41.3560717121492,38.2546195056468,65.7904632450175,54.8145248719694
59.4621974220461,60.6979088468181,47.9815979298065,74.8183623081852,64.3650755347748,62.019215334138,49.9683957062446,65.3120325967755,67.9969880576454,59.7424813194927,28.0167937317,8.04617246812433,20.2823665789815,51.5767106934417,81.6606405571792,27.0686515850403,58.8733122215578,2.08450266422542,57.7594025356429,41.9668846163548,37.3772841336102,66.5134289830967,55.1877241121124
59.7224945769889,61.146053758555,47.5711348572011,74.6274521387745,64.5376189333862,61.9730261248514,49.5121083391663,65.5031334661814,68.2540766719706,61.309292864977,28.1493598551344,8.21725213743182,20.226623331178,51.6760866677807,81.8453922714993,27.0943488504192,58.9579653560684,4.33736060892384,57.8379165644608,41.6453440767915,37.499948781005,66.6511007810096,55.3020998758762
59.7421642477181,61.2194049986809,46.8047153581818,75.2129543038391,64.6415373515632,62.6195934234494,49.7504761844182,65.7058334374666,68.3257432801805,61.7100432673769,28.9401384217305,8.25298788201708,20.476519866071,51.7565185750337,81.5219843776488,27.2375768506344,59.1239162656781,7.26743145473066,58.0722283746836,43.3015827329809,38.0522836816591,67.1138768351629,55.4535321980424
59.9530105400793,61.4398150358038,46.7735899529091,75.4396329015378,64.8160439820565,62.6514548266406,49.9329617558105,66.1967686345322,68.5474099114762,62.0549113166315,29.3367998746836,8.30342960854718,20.0587702472953,52.0193034966614,81.3456363610061,26.886687495428,59.2604553223043,7.4504434089251,58.4124226805822,43.681351187014,38.3105010590961,67.1178293102945,55.6108468964344
60.9348729092414,61.507805669616,46.5851767356493,75.9562623174433,64.5295121786091,62.4287726478689,50.8817952809277,66.3923342272653,68.8419160553157,62.5253691578307,30.6244132157692,8.39678374193832,19.8909090336994,52.0178810568717,81.3510119969839,27.4050868272166,60.1521430293988,7.42995550709984,58.3611690811114,44.1346765558526,39.0739318821508,67.844815103076,55.9268072629622
61.1226172315624,61.6463844806019,47.1055868034328,76.6434798361079,64.6576863236277,63.011972332412,50.9218048837076,66.5437816427506,68.8246571826702,62.7193562187337,31.1590856817015,8.64013780333414,22.270106112187,52.1693998514744,81.3887404647536,27.5470163577492,59.4379476733777,7.48593770962541,58.3334443804842,44.4174143088336,39.8138336441475,68.2482712373378,56.2810029333391
60.4310591216313,61.8382701995437,48.0855289323852,76.7556702641121,65.000661412808,63.3182877531887,51.1322308396122,66.730995118948,69.2544448271618,63.0773687576787,30.1777921509744,8.953849032569,23.9728755665594,52.6496908311841,81.760640731663,26.9071069967194,59.7054657678854,7.42553682944362,58.4890257409115,44.6969278743519,39.5788125731649,68.3200461772841,56.5317530140257
60.3071481973691,61.8360384844312,51.147825870376,76.7855075161664,65.446577612061,63.295191701547,50.8838329807181,66.7387969270211,69.493056154655,63.5853812588458,30.9053225569282,9.00873678471692,25.3374105559045,53.106452289172,85.229600956345,26.6348440270048,60.205336866234,5.69748922894727,58.5504900534154,46.2235012562263,39.7820264997527,68.7065271289847,56.7501501804306
60.5891314662013,61.904478098282,54.3295265817893,77.9522550421576,65.638520845339,63.7519803303271,50.9460134860291,66.9635336295058,69.714131543814,63.5613061831484,31.8591414796524,9.38655225942156,25.4173296978801,53.5617958974442,87.0983174082217,27.9763660246728,60.2829836200981,3.3580148880894,59.0917813176891,43.9804834169502,40.3301283349202,69.3205991802807,57.0108696512421
60.515232308498,62.1317413355965,55.6112254693648,78.1366495426684,65.2922285433825,63.7558277061069,51.2993705833343,67.0117997828685,69.711677430508,63.5078193461057,32.2276665124155,9.58201478889834,24.7707780073493,53.7406689775303,87.5317394865955,30.700240540188,60.4135716365017,3.95089365103319,59.3918965852981,42.8198156961128,40.6929360874884,69.505259733736,57.3510009293775
61.4858188008893,62.9293939899214,57.2237951046425,78.8477958126372,66.0702403144304,64.1916259713262,53.1816211157502,68.4418234080315,70.4754111211462,64.431000261629,33.4780816302126,10.169343475503,25.4876137180451,53.7775687117216,87.2198182828894,30.7844142929261,61.5394195309274,3.57784933474415,59.6752159824988,44.7759461515063,42.6336937613554,71.7677822375591,57.6796880809262
61.7342531432099,63.0027051064939,53.7802965206984,79.3239780080274,66.1042969409577,63.8830518846039,53.4893887593697,68.7591671133981,70.5604877598005,64.6756700486622,34.2254048421269,10.5427399901417,24.8086973510196,54.2479229581538,86.7464770256081,30.6576600844007,60.6474827186669,3.63458480103568,59.4250067093964,45.5560717121492,43.6546195056468,74.1904632450175,57.9145248719694
61.5621974220461,63.2979088468181,50.9815979298065,79.4183623081852,66.1650755347748,64.019215334138,53.4683957062446,68.8120325967755,70.3969880576454,64.8424813194927,32.9167937317,10.8461724681243,24.1823665789815,54.4767106934417,85.5606405571792,30.5686515850403,60.7733122215578,3.68450266422542,59.2594025356429,45.7668846163548,43.1772841336102,74.3134289830967,58.0877241121124
61.6224945769889,63.446053758555,49.3711348572011,79.4274521387745,66.4376189333862,64.0730261248514,53.0121083391663,69.0031334661814,70.4540766719706,65.109292864977,33.6493598551344,11.3172521374318,24.526623331178,54.5760866677807,84.9453922714993,30.5943488504192,60.8579653560684,5.83736060892384,59.0379165644608,46.4453440767915,43.499948781005,74.7511007810096,58.1020998758762
61.6421642477181,63.6194049986809,49.6047153581818,80.3129543038391,66.6415373515632,64.4195934234494,53.1504761844182,69.4058334374666,70.6257432801805,65.1100432673769,34.1401384217305,11.3529878820171,25.076519866071,54.9565185750337,84.3219843776488,30.7375768506344,61.2239162656781,8.76743145473066,59.3722283746836,48.0015827329809,43.7522836816591,74.7138768351629,58.2535321980424
