"AUT","BEL","CAN","CHE","CHL","DEU","DNK","ESP","FIN","FRA","GBR","GRC","HUN","ISL","ISR","ITA","JPN","KOR","LUX","MEX","NLD","NOR","POL","PRT","SWE","USA"
3.20900571708718,3.7414189464819,6.69879757287681,5.48550477157033,21.9650515166372,2.87171162865762,2.5984722543245,6.6281382334918,4.83156274691767,3.26427100982682,8.40917337017903,20.2557117695245,29.0811209970228,6.80078755488203,16.9468710254888,6.14455801509592,3.93108344383064,8.85852655552046,2.88832994099435,24.1305974843055,2.74332166891549,4.00557166915396,82.3394609711433,12.8824769692181,9.89621615093386,5.42674918323152
3.18136944705687,3.88224883570478,6.04536374166607,5.96946101468854,21.6535468322038,2.8511016196008,2.42973503153951,5.82118915913092,4.80711549584454,3.24627019768995,7.80896308227885,19.8644680174648,29.1626351853922,5.89706161484456,16.4751816059172,6.10679617202861,3.39300161747271,9.44014532190902,3.17796523751408,23.7089288925933,2.55809167093055,3.98900261968862,67.5421071569852,12.3249619570697,12.24875137363,5.230516280445
3.4554058036214,3.18889764189247,6.11373247593381,5.7456097372997,20.5687592465156,2.67069152773303,2.26414587354231,5.73626708546375,4.79657263289157,3.37196860451057,7.96069733680076,19.0136422949113,29.4524637436422,5.00865531196735,16.5901566129863,6.18400726579349,3.70027803078408,9.73676162468067,3.30866010505213,23.3843091541155,2.82726082531317,3.4812841839643,66.6437937152277,12.2872383470388,9.89179491194827,4.85171436267495
3.33033345161242,3.00683558602914,5.93102642686727,5.66648604390485,20.6122034623131,3.29150710715034,2.55028933737256,5.65284258399834,4.51868334175867,3.08047126367592,7.61420233894445,20.4367596537158,30.6164746779484,5.2621666305551,16.5857070960116,6.31313967466145,3.35544248377726,9.05950486798197,2.82534697607089,23.0197681217028,2.66362805674261,3.78916177385724,62.499256520292,12.1022930833303,10.1351106639286,4.66564437342663
3.30126151938144,3.08014043986704,5.99237575057892,6.05684040119758,21.6870725240442,2.97304182138127,2.38310023617156,5.9536334667726,4.65359354253581,3.21023900420041,7.36789925971939,17.5523981211077,31.4670106680425,5.51099054097701,16.6540114817889,6.20224954010173,3.45305157267966,8.32255840646758,3.13000767365326,22.6243279842702,2.69400128889306,3.77868597131554,59.7300390003719,11.4831695019385,9.53010313777405,4.83127620262729
3.60929613251582,3.54566920508468,6.11878746336911,6.26137157872275,21.2882408996885,3.57018711322876,2.81022129922315,5.9456696871472,4.2725872135069,3.4941401643386,7.50552454038527,17.2711170518893,32.3795246289167,6.30764971772457,17.9201221286961,6.35586372086623,3.34275841646265,8.59744244718184,3.2650200164837,21.3172843682049,3.01913124533728,3.60527831657667,59.882505001293,11.9555004675557,9.49349508500275,4.63196186340715
3.56564729675535,3.6613408072494,5.79494637152962,6.18653754189955,21.6270379650678,4.75783269806325,2.81175936757574,5.91723178199404,4.23265611088306,3.63445425712481,7.16348045951314,17.4417778893385,32.6381122208179,6.53714979209874,19.3198777883959,6.3322784455143,3.45389074312701,8.51459014194424,3.57189576772674,20.0007999731533,3.49277284501248,3.43890826621855,54.1400833679377,11.6479210523099,8.7618788014689,4.44218588567624
3.72010602496351,3.34468126724499,5.78463551838491,5.91062026705451,20.9998294319351,4.46650480602431,2.10157397986208,5.77134060166125,3.97873168610463,3.20809545972303,7.26979961186158,16.7053944645517,29.443068274658,6.77107643889623,19.2868178858452,6.12479987204235,3.33118696599302,9.10116126483689,3.5783247023736,18.7601957556377,3.3086364146631,3.59673241658536,50.4479173365608,10.9810569827381,7.89628960090063,3.71401376370732
3.19688180449678,2.57143567859277,5.31104303450292,5.45792315185194,17.5050554675667,4.19093686458263,1.84759500347873,5.69040408581785,3.77753745542027,2.63292818309573,6.71044613443836,16.6890757057576,28.7940201590679,7.54904853921743,18.9999599839695,5.91881988893439,2.78293578627418,9.0650949367097,3.15421021948703,18.4884665531658,3.44644182774108,3.2578611817331,52.726888987055,10.3487819278488,7.72480890027607,3.3396861783948
2.77752349475655,2.26099338264385,4.36730623573203,5.08723110833778,16.7870827538929,4.97930544180427,1.83370150171136,5.35021129322182,3.63108646772101,2.77057569952897,6.33131445175366,16.3311081530812,28.3984223066154,7.77721182216204,17.6602166115913,5.70325474837601,2.77921189505612,8.78840938945196,2.43884893006614,18.1426798361853,3.47646276390492,2.46546179342868,49.5833603881275,9.88533376495013,7.55572052902025,2.97888827540813
3.20408628898878,2.87101861183787,4.04017615047652,5.33371003169201,16.5486629178662,5.69320063282701,2.40118314171571,5.5992802403777,3.75965416868826,3.32400314835537,6.14195377577271,16.6505338527853,28.8724453061405,7.74801713477262,16.3626945627343,5.66955301866847,2.98842433013489,9.14408773279773,2.75680083177035,17.7883493238038,3.6311698262784,2.45482054051323,48.8511988415004,9.59987898730335,7.80561659593051,2.79778005795546
3.02586219344754,2.87474942091297,3.73659295211244,5.1447335677592,17.2726265224441,5.66933205018634,2.2394863100514,5.42676660237205,3.99725771487871,2.88837818905057,6.28486559444639,16.3774210397927,27.7469658227874,7.4582146012403,16.5008065011033,5.64979744012315,2.66346692126325,8.6113470842383,2.73788774727324,17.4947604947798,3.8025505556857,2.75590455604373,46.6071146946053,9.51648726983296,7.63567470516993,2.96936236071588
